	log2FC	pvalue	padj
100287102	-0.02466197224873138	0.939915016268708	
653635	-0.07344298796191197	0.05278826575001262	0.09540468319646066
102466751	-0.09019774997913602	0.6846896511397272	
107985730	-0.06794612531855633	0.5864980032477773	
100302278	-0.05062601304642359	0.8292572809181082	
645520	-0.07214978115378634	0.07796694050257302	0.0957236732571706
100996442	-0.07730571152210787	0.3567353395054162	
729737	-0.07692886649296697	0.29607596871441944	
102725121	-0.06140047510109969	0.8123944600633424	
102723897	-0.07430881276619351	0.04553825034485102	0.09540468319646066
102465909	-0.08091992966840045	0.738915854358225	
107985721	-0.07354045580749186	0.2399369793286542	
112268260	-0.08037338930890202	0.5247348002305412	
100132287	-0.070171896260021	0.31422921288277444	
113219467	-0.07301240527406158	0.09875381012481439	0.10353367490711134
81399	-0.0687126755930783	0.8018463158278675	
100133331	-0.07156862087333357	0.2612156040003959	
107984841	-0.07763738568090861	0.5226245549109129	
107984847	-0.07155324384264637	0.4424027439098399	
107984849	-0.08017029481981551	0.701659734929813	
100288069	-0.0743698048627888	0.46748917130550405	
105378580	-0.07038930934790023	0.4725417674470827	
400728	-0.053637908202491535	0.8040328296979774	
79854	-0.06784261090658798	0.6530185719294767	
643837	-0.07230780134882882	0.06473866509901835	0.09540468319646066
100130417	-0.07800248355724854	0.550146093576886	
107985728	-0.07245177078488886	0.5279912374960933	
148398	-0.07268444957436125	0.06535710861063147	0.09540468319646066
26155	-0.07320804865115156	0.05590469211180382	0.09540468319646066
339451	-0.07092176412303912	0.5157347120859485	
84808	-0.02466197224873138	0.939915016268708	
57801	-0.07617163223637455	0.6919894834398441	
9636	-0.06871267413849586	0.8018463196254687	
375790	-0.07524135961688073	0.32600474167121046	
105378948	-0.06413025744140556	0.833648569297377	
54991	-0.07422455426762425	0.5909032032616199	
51150	-0.07396337453404696	0.06305555754142517	0.09540468319646066
126792	-0.07214976845907972	0.44052413775674437	
118424	-0.07257330035840329	0.15786203738709628	
101928895	-0.07645202747516114	0.596686998454785	
6339	-0.07451719612460972	0.42687280913691056	
116983	-0.07189541139648326	0.06615738945500937	0.09540468319646066
109623456	-0.0995355997868921	0.711977918366659	
126789	-0.07038929947422838	0.5900509646626912	
54973	-0.07218384477281131	0.06118280046956908	0.09540468319646066
80772	-0.08289298052189316	0.5183745013454178	
83756	-0.07275625395091684	0.823081905055776	
1855	-0.07422025680689337	0.18369117686025532	
54587	-0.072658599001627	0.2639214431381322	
54998	-0.07247345611566502	0.17273130579773288	
81669	-0.07444125048678503	0.1029605888921825	0.10580451308664689
148413	-0.07980619155635535	0.26867210845118095	
55052	-0.07426394690742041	0.054735977892808554	0.09540468319646066
107984868	-0.08690803311917801	0.5389439547351133	
441869	-0.07287885293229038	0.5634192336286797	
105378585	-0.052467357192005896	0.826247988749163	
64856	-0.06524600412558974	0.5328854900935991	
219293	-0.07447818370498549	0.6014195403432507	
83858	-0.07198610427486489	0.22837223553792613	
