	log2FC	pvalue	padj
100287102	-0.02466197224873138	0.939915016268708	
653635	-0.07312185383883268	0.05384122976866903	0.09545169871877597
102466751	-0.09019774997913602	0.6846896511397272	
107985730	-0.06794612531855633	0.5864980032477773	
100302278	-0.05062601304642359	0.8292572809181082	
645520	-0.07376405006415025	0.0717199415732775	0.09545169871877597
100996442	-0.07416600400390215	0.37676964167959315	
729737	-0.07692886648984225	0.2960759687342058	
102725121	-0.06140047510109969	0.8123944600633424	
102723897	-0.07372460810962633	0.047328146204417235	0.09545169871877597
102465909	-0.08091992966840045	0.738915854358225	
107985721	-0.07354045580667486	0.23993697933392014	
112268260	-0.08037338929536847	0.5247348003009702	
100132287	-0.07245644944190552	0.29899329946738706	
113219467	-0.0721385742105144	0.10288873362882792	0.10568905311143349
81399	-0.0687126755930783	0.8018463158278675	
100133331	-0.07156862087205339	0.2612156040089947	
107984841	-0.07763738568090861	0.5226245549109129	
107984847	-0.07155324384264637	0.4424027439098399	
107984849	-0.08017029481981551	0.701659734929813	
100288069	-0.0743698048627888	0.46748917130550405	
105378580	-0.0749047904205839	0.44509289102058286	
400728	-0.053637908202491535	0.8040328296979774	
79854	-0.06784261090658798	0.6530185719294767	
643837	-0.07302788872989087	0.062162180057725946	0.09545169871877597
100130417	-0.07800248355724854	0.550146093576886	
107985728	-0.07245177078488886	0.5279912374960933	
148398	-0.07341548330581422	0.0627410341354969	0.09545169871877597
26155	-0.07222539788571741	0.059307131137433605	0.09545169871877597
339451	-0.07092176412303912	0.5157347120859485	
84808	-0.02466197224873138	0.939915016268708	
57801	-0.07617163223637455	0.6919894834398441	
9636	-0.0687126762003309	0.8018463140999446	
375790	-0.07393160460942803	0.3345675360383042	
105378948	-0.06413025744140556	0.833648569297377	
54991	-0.07422455426762425	0.5909032032616199	
51150	-0.07254896751718636	0.06830858809784868	0.09545169871877597
126792	-0.07214976845312773	0.44052413779475436	
118424	-0.0738143284237541	0.1509935973954788	
101928895	-0.07645202747516114	0.596686998454785	
6339	-0.07451719612460972	0.42687280913691056	
116983	-0.07261478066487884	0.06353535556796559	0.09545169871877597
109623456	-0.09953559938247238	0.7119779194969715	
126789	-0.06656758856137766	0.6105469861089233	
54973	-0.07361590055839237	0.056361172806327034	0.09545169871877597
80772	-0.0828929805075016	0.518374501418712	
83756	-0.09621522388570118	0.7668906185922008	
1855	-0.0756856658058512	0.17533542992626938	
54587	-0.07663844989693765	0.23909112577510894	
54998	-0.07247345611504563	0.17273130580143334	
81669	-0.07397609006347423	0.10514779351328059	0.10677105655286083
148413	-0.07980619155635535	0.26867210845118095	
55052	-0.07359665039127865	0.05696704790677646	0.09545169871877597
107984868	-0.082462128166906	0.5601007239017812	
441869	-0.07642791996702422	0.5444174103613432	
105378585	-0.03952830253571504	0.8688344621475281	
64856	-0.07038930733398846	0.5016126586324958	
219293	-0.07447818370498549	0.6014195403432507	
83858	-0.07118793272523509	0.23361422531563888	
55210	-0.06833710853118811	0.5234184073666635	
339453	-0.051838858391442214	0.8501149074535665	
29101	-0.07388669316896711	0.04708770117448255	0.09545169871877597
643988	-0.06413028175236113	0.7664515832683549	
142678	-0.07292138871308017	0.06235131590278565	0.09545169871877597
8510	-0.09076541289233316	0.6488127611949139	
984	-0.07334956699518	0.04601489204736426	0.09545169871877597
